---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
All files                              |   85.11 |    84.49 |   79.97 |   85.11 |                   
 src                                   |    41.8 |    56.52 |   58.33 |    41.8 |                   
  setupTests.ts                        |    41.8 |    56.52 |   58.33 |    41.8 | ...14-315,318-319 
 src/components                        |   84.82 |    79.92 |   86.36 |   84.82 |                   
  FishSpeciesAutocomplete.tsx          |     100 |       95 |     100 |     100 | 76,104            
  PWAInstallPrompt.tsx                 |   83.98 |    70.45 |   66.66 |   83.98 | ...91-192,539-562 
  TideEventsList.tsx                   |     100 |      100 |     100 |     100 |                   
  TideGraph.tsx                        |   71.75 |    77.94 |      80 |   71.75 | ...32-357,573-644 
  TideIntegration.tsx                  |    97.9 |    79.26 |      80 |    97.9 | ...42-243,247-255 
  TideSummaryCard.tsx                  |   31.78 |       60 |     100 |   31.78 | 40-117,120-129    
  TideSummaryGrid.tsx                  |    99.3 |    57.14 |     100 |    99.3 | 125               
 src/components/chart/config           |   87.61 |    77.77 |   83.33 |   87.61 |                   
  ChartConfigManager.ts                |   87.61 |    77.77 |   83.33 |   87.61 | ...57-458,462-481 
 src/components/chart/container        |   96.39 |    79.41 |     100 |   96.39 |                   
  ResponsiveChartContainer.tsx         |   96.39 |    79.41 |     100 |   96.39 | 64-65,70-73,77-78 
 src/components/chart/tide             |   91.71 |     88.3 |   71.42 |   91.71 |                   
  TideChart.tsx                        |   91.71 |     88.3 |   71.42 |   91.71 | ...-968,1710-1722 
 src/components/ui                     |   83.43 |    54.54 |   57.14 |   83.43 |                   
  ModernCard.tsx                       |   83.43 |    54.54 |   57.14 |   83.43 | 108-131,161-163   
 src/components/validation             |    86.4 |    89.47 |    92.3 |    86.4 |                   
  TideDataValidator.ts                 |    86.4 |    89.47 |    92.3 |    86.4 | ...70-178,305-319 
 ...mponents/validation/error-handling |   90.06 |    76.66 |   88.88 |   90.06 |                   
  TideChartErrorHandler.ts             |   90.06 |    76.66 |   88.88 |   90.06 | ...28-235,239-257 
 src/components/validation/types       |     100 |      100 |     100 |     100 |                   
  ValidationResult.ts                  |     100 |      100 |     100 |     100 |                   
  index.ts                             |     100 |      100 |     100 |     100 |                   
 src/components/validation/utils       |     100 |    95.31 |     100 |     100 |                   
  ErrorCategorizer.ts                  |     100 |    92.68 |     100 |     100 | 86-91             
  WarningGenerator.ts                  |     100 |      100 |     100 |     100 |                   
 src/constants                         |     100 |      100 |   42.85 |     100 |                   
  testIds.ts                           |     100 |      100 |   42.85 |     100 |                   
 src/data                              |     100 |      100 |     100 |     100 |                   
